Iteration,InitDuration
0,570.26
1,527.51
2,576.62
3,575.81
4,571.80
5,526.65
6,560.45
7,575.84
8,549.81
9,549.95
10,547.91
11,554.37
12,552.87
13,592.89
14,552.48
15,542.07
16,559.79
17,541.66
18,548.91
19,541.64
