Iteration,InitDuration
0,526.57
1,519.64
2,496.74
3,535.44
4,444.63
5,506.87
6,497.58
7,514.02
8,505.65
9,474.17
10,472.54
11,469.54
12,422.98
13,537.85
14,523.10
15,524.22
16,415.28
17,512.55
18,487.81
19,513.09
