Iteration,InitDuration
0,548.36
1,536.63
2,519.30
3,542.22
4,561.05
5,503.00
6,541.22
7,574.51
8,551.41
9,532.78
10,537.79
11,544.22
12,530.75
13,556.44
14,520.60
15,567.39
16,541.72
17,501.61
18,548.22
19,516.07
