Iteration,InitDuration
0,491.67
1,525.18
2,470.39
3,502.47
4,530.75
5,559.05
6,519.58
7,518.23
8,521.95
9,479.35
10,529.98
11,489.78
12,512.58
13,494.69
14,490.07
15,517.87
16,504.27
17,473.60
18,516.66
19,532.23
