Iteration,InitDuration
0,485.49
1,418.15
2,487.60
3,479.92
4,427.81
5,479.30
6,359.03
7,404.43
8,473.97
9,473.66
10,463.92
11,508.53
12,419.24
13,457.44
14,455.31
15,397.80
16,481.90
17,481.31
18,505.27
19,504.22
