Iteration,InitDuration
0,577.09
1,578.39
2,571.45
3,554.35
4,537.92
5,579.44
6,556.20
7,577.50
8,609.18
9,547.10
10,571.50
11,560.77
12,593.65
13,547.85
14,576.81
15,582.26
16,524.19
17,567.56
18,555.67
19,493.39
