Iteration,InitDuration
0,282.46
1,312.44
2,272.67
3,299.04
4,271.10
5,286.32
6,265.32
7,260.08
8,280.42
9,282.12
10,318.05
11,299.18
12,302.49
13,305.20
14,299.15
15,283.15
16,284.38
17,306.92
18,287.02
19,274.16
