Iteration,InitDuration
0,320.29
1,345.04
2,315.06
3,335.38
4,331.89
5,300.36
6,320.82
7,364.09
8,353.15
9,330.86
10,395.29
11,319.97
12,308.18
13,336.97
14,309.99
15,347.49
16,335.79
17,347.72
18,313.34
19,330.18
