Iteration,InitDuration
0,353.20
1,297.61
2,321.15
3,311.10
4,300.24
5,314.30
6,345.23
7,333.18
8,319.38
9,392.27
10,299.53
11,309.50
12,356.76
13,390.48
14,323.17
15,337.37
16,225.79
17,298.87
18,298.27
19,354.92
