Iteration,InitDuration
0,284.83
1,293.67
2,302.33
3,269.99
4,304.23
5,292.32
6,293.94
7,278.08
8,292.54
9,300.75
10,288.35
11,293.55
12,272.06
13,291.50
14,278.22
15,297.80
16,276.12
17,288.64
18,277.21
19,277.72
