Iteration,InitDuration
0,276.26
1,241.38
2,190.26
3,272.50
4,186.75
5,272.07
6,223.71
7,216.73
8,229.46
9,245.50
10,281.39
11,227.18
12,235.39
13,188.27
14,202.97
15,248.95
16,226.75
17,209.09
18,220.04
19,253.02
