Iteration,InitDuration
0,373.66
1,348.49
2,391.95
3,391.76
4,373.23
5,388.37
6,391.43
7,419.89
8,387.83
9,397.00
10,396.94
11,414.09
12,417.86
13,355.37
14,437.90
15,373.53
16,377.58
17,383.84
18,378.23
19,374.45
