Iteration,InitDuration
0,410.01
1,382.35
2,459.81
3,449.48
4,472.05
5,429.15
6,483.19
7,516.37
8,438.06
9,465.30
10,437.58
11,436.61
12,400.94
13,467.32
14,433.70
15,476.76
16,431.94
17,540.62
18,464.70
19,453.56
