Iteration,InitDuration
0,443.09
1,410.42
2,411.44
3,372.02
4,440.26
5,481.43
6,451.59
7,405.39
8,408.72
9,417.40
10,434.08
11,420.28
12,464.28
13,473.27
14,430.71
15,428.01
16,415.29
17,411.74
18,410.05
19,448.37
