Iteration,InitDuration
0,425.92
1,416.81
2,393.00
3,444.84
4,442.45
5,419.02
6,413.11
7,433.39
8,435.92
9,415.61
10,420.86
11,416.19
12,428.48
13,442.11
14,413.40
15,443.96
16,412.16
17,409.42
18,446.50
19,413.38
