Iteration,InitDuration
0,360.63
1,325.63
2,414.30
3,313.53
4,357.16
5,305.03
6,366.32
7,378.94
8,388.91
9,386.54
10,343.75
11,397.94
12,289.95
13,288.43
14,423.53
15,323.91
16,385.99
17,355.75
18,376.67
19,386.78
